grupo,carga,entrada,binario,schedule,T_arquivo,rep,passos,nao_combustiveis,intactas,em_chamas,queimadas,contencao,total_ignicoes,pico_passo,pico_qtd,percentual_queimado,percentual_protegido,checksum,tempo
threads_det,media,entradas/entrada_carga_media_T2.txt,fire_omp_static,static,2,2,100,360809,1324373,5734,93801,15283,99529,98,1863,6.92,1.06,17187382406529706254,0.961135
threads_det,media,entradas/entrada_carga_media_T2.txt,fire_omp_static,static,2,3,100,360809,1324373,5734,93801,15283,99529,98,1863,6.92,1.06,17187382406529706254,0.963979
threads_det,media,entradas/entrada_carga_media_T4.txt,fire_omp_static,static,4,1,100,360809,1324373,5734,93801,15283,99529,98,1863,6.92,1.06,17187382406529706254,0.541164
threads_det,media,entradas/entrada_carga_media_T4.txt,fire_omp_static,static,4,2,100,360809,1324373,5734,93801,15283,99529,98,1863,6.92,1.06,17187382406529706254,0.593480
threads_det,media,entradas/entrada_carga_media_T4.txt,fire_omp_static,static,4,3,100,360809,1324373,5734,93801,15283,99529,98,1863,6.92,1.06,17187382406529706254,0.528704
threads_det,media,entradas/entrada_carga_media_T16.txt,fire_omp_static,static,16,1,100,360809,1324373,5734,93801,15283,99529,98,1863,6.92,1.06,17187382406529706254,0.579278
threads_det,media,entradas/entrada_carga_media_T16.txt,fire_omp_static,static,16,2,100,360809,1324373,5734,93801,15283,99529,98,1863,6.92,1.06,17187382406529706254,0.580518
threads_det,media,entradas/entrada_carga_media_T16.txt,fire_omp_static,static,16,3,100,360809,1324373,5734,93801,15283,99529,98,1863,6.92,1.06,17187382406529706254,0.546969
threads_det,media,entradas/entrada_carga_media.txt,fire_omp_static,static,8,1,100,360809,1324373,5734,93801,15283,99529,98,1863,6.92,1.06,17187382406529706254,0.491203
threads_det,media,entradas/entrada_carga_media.txt,fire_omp_static,static,8,2,100,360809,1324373,5734,93801,15283,99529,98,1863,6.92,1.06,17187382406529706254,0.499392
threads_det,media,entradas/entrada_carga_media.txt,fire_omp_static,static,8,3,100,360809,1324373,5734,93801,15283,99529,98,1863,6.92,1.06,17187382406529706254,0.498697
varredura_T,grande,entradas/entrada_carga_grande_T1.txt,fire_omp_static,static,1,1,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,6.524255
varredura_T,grande,entradas/entrada_carga_grande_T1.txt,fire_omp_static,static,1,2,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,6.516633
varredura_T,grande,entradas/entrada_carga_grande_T1.txt,fire_omp_static,static,1,3,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,6.530484
varredura_T,grande,entradas/entrada_carga_grande_T1.txt,fire_omp_static,static,1,4,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,6.516959
varredura_T,grande,entradas/entrada_carga_grande_T1.txt,fire_omp_static,static,1,5,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,6.509896
varredura_T,grande,entradas/entrada_carga_grande_T1.txt,fire_omp_static,static,1,6,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,6.642870
varredura_T,grande,entradas/entrada_carga_grande_T1.txt,fire_omp_static,static,1,7,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,6.517917
varredura_T,grande,entradas/entrada_carga_grande_T1.txt,fire_omp_static,static,1,8,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,6.516569
varredura_T,grande,entradas/entrada_carga_grande_T1.txt,fire_omp_static,static,1,9,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,6.516036
varredura_T,grande,entradas/entrada_carga_grande_T1.txt,fire_omp_static,static,1,10,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,6.511163
varredura_T,grande,entradas/entrada_carga_grande_T2.txt,fire_omp_static,static,2,1,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,3.328207
varredura_T,grande,entradas/entrada_carga_grande_T2.txt,fire_omp_static,static,2,2,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,3.324639
varredura_T,grande,entradas/entrada_carga_grande_T2.txt,fire_omp_static,static,2,3,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,3.323790
varredura_T,grande,entradas/entrada_carga_grande_T2.txt,fire_omp_static,static,2,4,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,3.325230
varredura_T,grande,entradas/entrada_carga_grande_T2.txt,fire_omp_static,static,2,5,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,3.323737
varredura_T,grande,entradas/entrada_carga_grande_T2.txt,fire_omp_static,static,2,6,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,3.325726
varredura_T,grande,entradas/entrada_carga_grande_T2.txt,fire_omp_static,static,2,7,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,3.558776
varredura_T,grande,entradas/entrada_carga_grande_T2.txt,fire_omp_static,static,2,8,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,3.327299
varredura_T,grande,entradas/entrada_carga_grande_T2.txt,fire_omp_static,static,2,9,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,3.325981
varredura_T,grande,entradas/entrada_carga_grande_T2.txt,fire_omp_static,static,2,10,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,3.328193
varredura_T,grande,entradas/entrada_carga_grande_T4.txt,fire_omp_static,static,4,1,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.800725
varredura_T,grande,entradas/entrada_carga_grande_T4.txt,fire_omp_static,static,4,2,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.802566
varredura_T,grande,entradas/entrada_carga_grande_T4.txt,fire_omp_static,static,4,3,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.799124
varredura_T,grande,entradas/entrada_carga_grande_T4.txt,fire_omp_static,static,4,4,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.805315
varredura_T,grande,entradas/entrada_carga_grande_T4.txt,fire_omp_static,static,4,5,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.799383
varredura_T,grande,entradas/entrada_carga_grande_T4.txt,fire_omp_static,static,4,6,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.801671
varredura_T,grande,entradas/entrada_carga_grande_T4.txt,fire_omp_static,static,4,7,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.802441
varredura_T,grande,entradas/entrada_carga_grande_T4.txt,fire_omp_static,static,4,8,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.799182
varredura_T,grande,entradas/entrada_carga_grande_T4.txt,fire_omp_static,static,4,9,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.836678
varredura_T,grande,entradas/entrada_carga_grande_T4.txt,fire_omp_static,static,4,10,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.830863
varredura_T,grande,entradas/entrada_carga_grande_T16.txt,fire_omp_static,static,16,1,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.689067
varredura_T,grande,entradas/entrada_carga_grande_T16.txt,fire_omp_static,static,16,2,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.689699
varredura_T,grande,entradas/entrada_carga_grande_T16.txt,fire_omp_static,static,16,3,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.692262
varredura_T,grande,entradas/entrada_carga_grande_T16.txt,fire_omp_static,static,16,4,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.682717
varredura_T,grande,entradas/entrada_carga_grande_T16.txt,fire_omp_static,static,16,5,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.691210
varredura_T,grande,entradas/entrada_carga_grande_T16.txt,fire_omp_static,static,16,6,100,1251181,4804870,7434,121067,65448,128491,99,2381,2.57,1.31,14825089465781038537,1.673374
